,batch_size,epochs,k,id
0,28,20,1,1
1,14,30,1,2
2,14,30,1,3
3,28,30,1,4
4,14,30,1,5
5,42,30,1,6
6,42,30,1,7
7,14,30,1,8
8,14,20,1,9
9,28,30,2,1
10,14,20,2,2
11,14,20,2,3
12,14,20,2,4
13,14,20,2,5
14,28,30,2,6
15,14,30,2,7
16,14,20,2,8
17,14,30,2,9
18,14,30,2,37
19,28,30,3,1
20,14,30,3,2
21,42,20,3,3
22,42,30,3,4
23,28,30,3,6
24,14,20,3,7
25,14,30,3,8
26,14,30,3,9
27,14,30,3,37
28,28,30,4,1
29,42,30,4,2
30,28,30,4,3
31,14,30,4,4
32,28,20,4,6
33,14,30,4,7
34,14,30,4,8
35,28,30,4,9
36,14,30,4,37
37,14,20,5,1
38,28,30,5,2
39,28,10,5,3
40,14,20,5,4
41,42,10,5,6
42,42,30,5,7
43,42,20,5,8
44,28,20,5,9
45,42,10,5,37
46,14,30,6,1
47,14,30,6,2
48,14,30,6,3
49,14,30,6,4
50,14,20,6,6
51,14,20,6,7
52,14,30,6,8
53,14,30,6,9
54,14,30,6,37
55,14,30,7,1
56,14,30,7,2
57,14,10,7,3
58,14,20,7,4
59,14,20,7,6
60,14,30,7,7
61,28,30,7,8
62,14,20,7,9
63,28,10,7,37
64,14,20,8,1
65,14,10,8,2
66,14,10,8,3
67,14,30,8,4
68,14,10,8,6
69,14,10,8,7
70,14,20,8,8
71,42,30,8,9
72,42,30,8,37
